label,black_pixels,regions
serpent,2163,1
spear,3827,3
elk-sedge,1802,1
bow,3505,2
ash,1994,1
sun,1868,1
ash,1991,1
oak,3456,1
joy,1905,2
oak,2835,1
wealth,1891,1
bow,4332,3
ash,2576,1
ash,1902,1
bow,4294,2
sun,2279,1
ash,3101,1
tyr,2320,1
gift,2441,1
tyr,2114,1
gift,3068,1
gift,2453,1
need,16384,0
sun,2258,1
tyr,1990,1
sun,2150,1
ash,16384,0
bow,4487,5
bow,4668,5
need,1335,1
oak,1733,1
serpent,2636,1
bow,3595,2
gift,3091,2
gift,4510,1
tyr,2433,1
gift,1340,1
joy,1637,2
need,1704,1
need,1605,1
oak,2864,1
spear,4686,5
ash,1856,1
wealth,2030,1
bow,4449,2
spear,5858,5
joy,16384,0
elk-sedge,3167,1
bow,3665,2
gift,3089,2
wealth,2193,1
gift,2413,1
gift,16384,0
need,2007,1
serpent,2828,1
need,16384,0
tyr,2109,1
joy,2987,3
ash,2231,1
elk-sedge,2420,1
spear,5231,3
oak,2408,1
oak,3021,1
bow,3810,2
serpent,2807,1
bow,4455,2
wealth,2695,1
oak,2902,1
tyr,2485,1
serpent,3282,1
elk-sedge,3903,1
tyr,2220,1
wealth,3075,3
joy,2118,2
tyr,3608,1
elk-sedge,4032,1
ash,2158,1
serpent,3083,1
sun,2215,1
need,3888,2
tyr,1743,1
joy,2158,2
joy,2224,2
joy,2720,2
ash,1644,1
sun,3582,1
elk-sedge,1370,1
gift,1355,1
elk-sedge,3264,1
elk-sedge,4175,1
wealth,2504,4
elk-sedge,2696,1
need,4137,2
wealth,2254,1
bow,4109,2
spear,3707,3
serpent,2550,1
bow,4067,2
bow,3171,2
tyr,1955,1
sun,1947,1
gift,3928,1
gift,1799,1
serpent,2565,1
serpent,2255,1
elk-sedge,1886,1
elk-sedge,3917,1
ash,2791,1
need,2063,1
elk-sedge,3111,1
oak,2134,1
oak,2618,1
sun,2856,1
bow,3483,2
gift,4746,1
ash,2051,1
sun,3636,1
tyr,2471,1
joy,2219,2
sun,2701,1
tyr,1723,1
bow,3919,2
serpent,2392,1
elk-sedge,2253,1
elk-sedge,2058,1
need,1631,1
elk-sedge,3747,1
oak,2149,1
serpent,2306,1
sun,1818,1
bow,3958,2
bow,4025,3
wealth,2242,1
spear,3450,3
gift,3825,1
bow,3189,2
sun,2105,1
tyr,718,1
joy,2990,2
serpent,3003,1
elk-sedge,3570,1
spear,3547,3
bow,3137,2
ash,2142,1
bow,4217,2
sun,3352,1
sun,2508,1
spear,3908,3
ash,2383,1
need,2325,1
joy,2102,2
need,2109,1
tyr,2549,1
ash,2458,1
joy,2338,2
serpent,1973,2
bow,2000,2
need,2002,1
oak,1721,1
sun,2243,1
serpent,1812,1
sun,2381,1
sun,2683,1
sun,2612,1
ash,2436,1
oak,2759,1
wealth,2804,3
spear,3789,3
joy,2048,2
spear,4524,3
spear,3982,3
wealth,1517,1
gift,3014,1
joy,2185,2
oak,2395,1
ash,1976,1
need,2129,1
ash,2875,1
tyr,2309,1
tyr,2080,1
gift,5777,3
elk-sedge,2200,1
spear,4498,3
oak,2321,1
spear,4971,3
need,1282,1
joy,2387,2
serpent,3908,1
gift,2517,1
elk-sedge,1933,1
wealth,2042,1
ash,2000,1
gift,1610,1
sun,2380,1
wealth,3499,1
gift,3037,1
elk-sedge,16384,0
need,2063,1
gift,2624,1
elk-sedge,2178,1
ash,2313,1
spear,3970,3
ash,2321,1
spear,4569,4
need,2757,1
joy,2778,2
gift,2397,1
sun,2537,1
gift,2770,1
oak,1939,1
oak,2828,1
tyr,1719,1
spear,3068,3
gift,5661,2
ash,2295,1
bow,3525,2
oak,2326,1
bow,4122,4
elk-sedge,3756,1
joy,2049,2
spear,5132,3
wealth,2514,1
oak,2403,1
ash,2056,1
spear,16384,0
joy,2511,2
wealth,2159,1
joy,2041,2
spear,4299,3
bow,3204,2
ash,2755,1
serpent,2522,1
spear,4756,3
joy,2314,2
tyr,2086,1
elk-sedge,3395,1
ash,2422,1
ash,1916,1
need,1650,1
spear,4114,3
tyr,2200,1
sun,2380,1
spear,3801,3
bow,4398,4
sun,2346,1
oak,3402,1
wealth,2729,1
oak,2921,1
ash,2355,1
sun,2378,1
oak,2728,1
wealth,2570,1
bow,3402,2
gift,6115,4
tyr,2191,1
serpent,1990,1
need,1792,1
ash,3928,1
gift,1926,1
joy,2101,2
need,16384,0
oak,3061,2
bow,3064,2
wealth,1860,1
tyr,2199,1
tyr,1909,1
ash,2486,1
wealth,2674,1
need,1807,1
elk-sedge,1976,1
sun,2488,1
wealth,2219,1
serpent,1724,1
need,2318,1
ash,2299,1
joy,1965,2
serpent,2369,1
ash,1527,1
need,2188,2
need,1316,1
ash,2163,1
need,1671,1
gift,3600,1
bow,3554,2
need,1917,1
serpent,3577,1
need,1285,1
bow,3614,2
tyr,2378,1
ash,2520,2
ash,2037,1
bow,3577,2
spear,3946,3
oak,2325,1
oak,2869,1
wealth,2407,1
elk-sedge,2717,1
spear,3936,3
serpent,3037,1
serpent,2824,1
sun,2857,1
wealth,2611,2
oak,3603,1
ash,2146,1
gift,2671,1
need,2034,1
wealth,3850,1
joy,1454,2
joy,2058,2
bow,3443,2
oak,3142,2
joy,2342,2
serpent,5368,1
joy,2532,2
ash,1941,1
bow,2459,2
gift,2028,1
elk-sedge,3859,1
tyr,16384,0
ash,2572,1
spear,4619,3
serpent,3153,1
bow,3931,2
tyr,1890,1
oak,1916,1
ash,1926,1
serpent,2843,1
spear,3731,3
tyr,2567,1
serpent,1730,1
tyr,2352,1
bow,2846,2
ash,2427,1
serpent,2405,1
oak,2061,1
tyr,2020,1
joy,3148,2
ash,2037,1
bow,3452,2
serpent,2521,1
elk-sedge,3544,1
ash,2193,1
spear,16384,0
sun,2181,1
serpent,2258,1
sun,2324,1
oak,2706,1
sun,2149,1
tyr,1754,1
bow,3401,2
gift,4748,1
spear,4203,3
elk-sedge,1778,1
ash,1569,1
tyr,2172,1
gift,3971,1
tyr,1645,1
tyr,3100,1
joy,2493,2
ash,2433,2
oak,2177,1
oak,2685,1
bow,4221,2
bow,4348,2
serpent,3074,1
elk-sedge,2210,1
wealth,1522,1
oak,1964,2
serpent,14907,25
wealth,2206,1
ash,2589,1
ash,2437,1
joy,2578,2
spear,2985,3
sun,2494,1
sun,2616,1
elk-sedge,2795,1
bow,6954,3
elk-sedge,2185,1
joy,2236,2
ash,2080,1
elk-sedge,2245,1
bow,3296,2
wealth,2551,2
bow,3092,2
gift,1812,1
need,2044,1
serpent,3585,1
elk-sedge,3047,3
bow,3533,2
elk-sedge,2389,1
tyr,2431,2
serpent,4505,1
wealth,2236,1
joy,2488,2
joy,1511,2
spear,3682,3
tyr,2557,1
tyr,2288,1
bow,3228,2
bow,7607,2
